,0,1
30,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.8_kde=25.0_characters.txt,229
203,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.6_clem=2.25_pft=0.5_kde=25.0_characters.txt,229
41,hfm=1.5_bcm=18.0_bksm=0.2_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,229
221,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.5_kde=25.0_characters.txt,232
11,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.8_kde=25.0_characters.txt,232
13,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,232
47,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.3_kde=25.0_characters.txt,232
39,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,232
206,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.6_clem=1.0_pft=0.3_kde=25.0_characters.txt,232
229,hfm=1.5_bcm=18.0_bksm=0.45_lscm=0.75_clem=1.0_pft=0.5_kde=25.0_characters.txt,233
189,hfm=1.5_bcm=12.0_bksm=0.45_lscm=0.6_clem=1.5_pft=0.5_kde=25.0_characters.txt,233
130,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.3_kde=25.0_characters.txt,233
158,hfm=1.5_bcm=12.0_bksm=0.3_lscm=0.75_clem=1.5_pft=0.8_kde=25.0_characters.txt,234
73,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.8_kde=25.0_characters.txt,234
135,hfm=1.5_bcm=12.0_bksm=0.2_lscm=0.75_clem=2.25_pft=0.5_kde=25.0_characters.txt,234
227,hfm=1.5_bcm=8.0_bksm=0.45_lscm=1.0_clem=2.25_pft=0.8_kde=25.0_characters.txt,234
